rank,frozen_genomic_order,raw_feature_name,model_feature_name,feature_type,beta,abs_beta,hazard_ratio,direction,direction_display,is_active,standard_error,beta_ci_lower_95,beta_ci_upper_95,hazard_ratio_ci_lower_95,hazard_ratio_ci_upper_95,comparison_to,z_statistic,p_value,negative_log2_p_value
25,57,chek2_mut,chek2_mut_present,mutation_presence,-9.7202150550108833e-07,9.7202150550108833e-07,0.99999902797896689,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.0017619473282641184,-0.0034543253275597452,0.0034523812845487431,0.99655163399039215,1.0034583476168577,0,-0.00055167455343783174,0.99955982741355154,0.00063517461108795093
26,63,foxo1_mut,foxo1_mut_present,mutation_presence,6.7459858775996434e-07,6.7459858775996434e-07,1.0000006745988153,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00096132270531099713,-0.0018834832813424062,0.0018848324785179259,0.99811828936020486,1.0018866098917871,0,0.00070173999223468379,0.99944009254045141,0.0008080019395188421
27,59,pten_mut,pten_mut_present,mutation_presence,-3.0724305708635704e-07,3.0724305708635704e-07,0.99999969275699008,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00048613617471070236,-0.00095311663707213436,0.00095250215095796166,0.99904733743431728,1.000952955925194,0,-0.00063201027421832189,0.99949572879350312,0.00072769306162948902
28,68,nr3c1_mut,nr3c1_mut_present,mutation_presence,2.9321221073513072e-07,2.9321221073513072e-07,1.0000002932122538,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.0005349878051954792,-0.0010482636181405347,0.0010488500425620047,0.99895228561823457,1.0010494002781227,0,0.00054807269976554687,0.99956270127655245,0.00063102668334454959
29,56,nr2f1_mut,nr2f1_mut_present,mutation_presence,2.2665614278681325e-07,2.2665614278681325e-07,1.0000002266561685,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00057620142442160456,-0.001129107383564236,0.0011295606958498098,0.99887152981833194,1.0011301988898029,0,0.00039336269085820541,0.99968614199026251,0.00045287246673526247
30,58,hras_mut,hras_mut_present,mutation_presence,1.8524218932784186e-07,1.8524218932784186e-07,1.0000001852422065,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00086262910363956325,-0.0016905367329602859,0.0016909072173389415,0.9983108914193678,1.0016923376070528,0,0.00021474140919460857,0.99982866114635538,0.00024721089348507546
31,54,erbb3_mut,erbb3_mut_present,mutation_presence,-1.1423061927945844e-07,1.1423061927945844e-07,0.99999988576938725,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00022739104624065656,-0.00044579249165784842,0.00044556403041928945,0.99955430685905111,1.0004456633088163,0,-0.00050235319801714552,0.99959918015609062,0.00057837672127641362
32,67,ttyh1_mut,ttyh1_mut_present,mutation_presence,1.0188263902887052e-07,1.0188263902887052e-07,1.0000001018826443,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.0003347133451353844,-0.00065592421897124945,0.00065612798424930722,0.99934429085229326,1.0006563432833007,0,0.00030438774106141832,0.9997571337246598,0.00035042452590484545
33,13,tgfbr2,tgfbr2,expression,9.3744281993613887e-08,9.3744281993613887e-08,1.0000000937442863,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00022728434486337406,-0.00044537538590000078,0.00044556287446398802,0.99955472377899468,1.0004456621523459,0,0.0004124537572086884,0.99967090952440874,0.00047485533660988552
34,50,prkd1,prkd1,expression,7.7171995448552908e-08,7.7171995448552908e-08,1.0000000771719983,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.0001440263288507662,-0.00028220924537757531,0.00028236358936847242,0.99971783057190566,1.0002824034577191,0,0.00053581866638088903,0.99957247857916176,0.00061691491528606329
35,14,mapt,mapt,expression,-7.3979364342550209e-08,7.3979364342550209e-08,0.99999992602063836,effectively_zero_under_r8_threshold,Effectively zero under the R8 numerical coefficient threshold,false,0.00013204440425419275,-0.00025887625606260786,0.00025872829733392274,0.99974115724950408,1.0002587617703864,0,-0.00056026126029646705,0.9995529762137797,0.00064506318957844677
